desc_id,text_match_desc_id,text_match_string
s-los.a.illbk.04,america.m.illbk.05,"The Guardian Prince of Albion burns in his nightly tent"
america.m.illbk.05,s-los.a.illbk.04,"The Guardian Prince of Albion burns in his nightly tent"
s-los.a.illbk.04,milton.d.illbk.05,"Creeping in reptile flesh upon</br>The bosom of the ground"
milton.d.illbk.05,s-los.a.illbk.04,"Creeping in reptile flesh upon</br>The bosom of the ground"
